,boardgame_avgrating,boardgame_geekrating,boardgame_listprice,boardgame_voters,boardgame_year,boardgame_rank
2812,5.9,5.516,,97,2014,12313
2813,6.67,5.516,,30,1963,12314
2814,6.42,5.516,,30,2010,12315
2815,5.94,5.516,,62,1993,12316
2816,6.07,5.516,,36,2017,12317
2817,6.11,5.516,,37,2018,12318
2818,5.72,5.516,69.99,171,1996,12319
2819,5.86,5.516,,106,1996,12320
2820,6.82,5.516,,46,2001,12321
2821,5.72,5.515,,99,2002,12322
2822,6.05,5.515,,42,2010,12323
2823,8.46,5.515,,31,2017,12324
2824,5.75,5.515,,102,1933,12325
2825,6.06,5.515,,40,2018,12326
2826,5.68,5.515,,160,1993,12327
2827,6.01,5.515,,38,1994,12328
2828,5.68,5.515,,243,2005,12329
2829,5.69,5.515,,84,2017,12330
2830,6.04,5.515,,40,2012,12331
2831,5.93,5.515,21.99,41,2013,12332
2832,5.89,5.515,,80,2017,12333
2833,5.79,5.515,,49,2006,12334
2834,6.08,5.515,,45,1982,12335
2835,5.82,5.515,,64,1998,12336
2836,5.66,5.515,,123,2006,12337
2837,5.86,5.515,,67,2014,12338
2838,6.14,5.515,,31,2013,12339
2839,6.08,5.515,,35,2002,12340
2840,6.1,5.515,,31,2002,12341
2841,5.83,5.515,,59,1989,12342
2842,6.13,5.515,,66,2013,12343
2843,6.1,5.515,,60,2003,12344
2844,6.14,5.515,,38,1981,12345
2845,5.97,5.515,,49,2004,12346
2846,5.8,5.515,,63,2011,12347
2847,6.58,5.515,,36,2009,12348
2848,5.97,5.515,,49,2012,12349
2849,5.71,5.515,,102,2018,12350
2850,6.21,5.515,,39,1986,12351
2851,5.83,5.515,,73,2003,12352
2852,5.67,5.515,,64,1993,12353
2853,6.12,5.515,,30,2017,12354
2854,6.23,5.515,,39,2017,12355
2855,6.08,5.515,,30,2013,12356
2856,6.03,5.515,,37,,12357
2857,6.13,5.515,,38,2012,12358
2858,5.71,5.515,,89,2010,12359
2859,5.52,5.515,,175,2008,12360
2860,5.75,5.515,,97,1997,12361
2861,5.85,5.515,,53,2004,12362
2862,5.7,5.515,,97,2004,12363
2863,5.96,5.515,,40,1997,12364
2864,6.03,5.515,,35,2012,12365
2865,6.19,5.515,,30,2004,12366
2866,6.59,5.515,,43,2014,12367
2867,5.95,5.515,,47,1997,12368
2868,5.77,5.515,,77,2016,12369
2869,6.03,5.515,,56,1972,12370
2870,5.81,5.515,,83,2007,12371
2871,5.8,5.515,,77,2006,12372
2872,6.29,5.515,,52,1995,12373
2873,6.05,5.515,,40,1995,12374
2874,5.68,5.515,,149,2005,12375
2875,5.95,5.515,,59,1986,12376
2876,5.77,5.515,,107,1983,12377
2877,5.92,5.515,,77,1980,12378
2878,5.69,5.515,,294,2015,12379
2879,5.85,5.515,,65,2018,12380
2880,6.13,5.515,,35,,12381
2881,7.02,5.515,,33,2015,12382
2882,5.92,5.515,,55,2013,12383
2883,5.77,5.515,,68,2014,12384
2884,6.18,5.515,,34,1995,12385
2885,6.12,5.515,,32,2002,12386
2886,6.19,5.515,,37,1971,12387
2887,5.71,5.515,,103,2000,12388
2888,6.1,5.515,,51,2014,12389
2889,8.03,5.515,,43,2016,12390
2890,6.31,5.515,,35,2018,12391
2891,6.04,5.515,,41,2006,12392
2892,5.86,5.515,,67,2013,12393
2893,6.1,5.515,,50,2016,12394
2894,6.22,5.515,,36,2008,12395
2895,6,5.515,,36,2006,12396
2896,6.11,5.515,,61,1979,12397
2897,5.69,5.515,,168,2010,12398
2898,6.11,5.515,,35,2018,12399
2899,5.87,5.515,,46,2003,12400
2900,6.4,5.515,,44,2016,12401
2901,5.93,5.515,,63,2015,12402
2902,5.67,5.515,,140,2006,12403
2903,5.94,5.515,,55,1972,12404
2904,5.96,5.515,,39,1989,12405
2905,5.74,5.515,,153,1972,12406
2906,6.23,5.515,,32,1998,12407
2907,9.08,5.515,,38,2018,12408
2908,6.4,5.515,,42,1995,12409
2909,5.94,5.515,,47,2009,12410
2910,5.78,5.515,,123,2006,12411
2911,6.24,5.515,,30,1992,12412
2912,5.71,5.515,34.99,177,2005,12413
2913,5.96,5.514,,56,2014,12414
2914,5.67,5.514,,101,2008,12415
2915,5.63,5.514,,152,1990,12416
2916,5.84,5.514,,81,1975,12417
2917,5.79,5.514,,75,2002,12418
2918,5.96,5.514,,52,2017,12419
2919,6.01,5.514,,41,,12420
2920,6.71,5.514,,37,2015,12421
2921,6.15,5.514,,59,2006,12422
2922,5.74,5.514,,77,1996,12423
2923,5.7,5.514,,103,1974,12424
2924,6.39,5.514,,36,2006,12425
2925,5.61,5.514,,218,2007,12426
2926,5.87,5.514,,41,2014,12427
2927,5.83,5.514,,79,2003,12428
2928,5.93,5.514,29.99,31,2011,12429
2929,5.82,5.514,,57,2007,12430
2930,6.22,5.514,,30,2010,12431
2931,5.76,5.514,,112,2010,12432
2932,5.64,5.514,14.99,140,2012,12433
2933,5.67,5.514,,123,2005,12434
2934,5.88,5.514,,76,1989,12435
2935,5.87,5.514,,70,2009,12436
2936,5.75,5.514,,87,1958,12437
2937,6.13,5.514,,30,2003,12438
2938,5.79,5.514,,107,1973,12439
2939,5.97,5.514,,57,1985,12440
2940,6.48,5.514,,30,1991,12441
2941,6.19,5.514,,32,2011,12442
2942,6.12,5.514,,52,2007,12443
2943,5.81,5.514,,85,2011,12444
2944,6.27,5.514,,31,2015,12445
2945,5.77,5.514,,67,2011,12446
2946,5.8,5.514,,69,2016,12447
2947,5.87,5.514,,64,2013,12448
2948,6,5.514,,36,1999,12449
2949,5.88,5.514,,46,2013,12450
2950,6.32,5.514,,33,2015,12451
2951,5.84,5.514,,79,1986,12452
2952,5.84,5.514,,52,2006,12453
2953,5.99,5.514,,39,2017,12454
2954,5.65,5.514,,158,2007,12455
2955,6.02,5.514,,44,2011,12456
2956,6.26,5.514,,46,2016,12457
2957,5.61,5.514,,219,2010,12458
2958,6.02,5.514,,53,2017,12459
2959,7.04,5.514,,33,1971,12460
2960,5.87,5.514,,86,2011,12461
2961,5.93,5.514,,41,2013,12462
2962,5.9,5.514,,63,1993,12463
2963,5.87,5.514,,51,2011,12464
2964,5.83,5.514,,73,2008,12465
2965,6.19,5.514,14.99,30,2017,12466
2966,5.91,5.514,,39,2004,12467
2967,5.83,5.514,,76,2016,12468
2968,5.96,5.514,,56,1975,12469
2969,5.8,5.514,,66,2005,12470
2970,5.71,5.514,,88,2010,12471
2971,5.92,5.514,,58,1966,12472
2972,6.06,5.514,,35,2013,12473
2973,6.35,5.514,,69,2008,12474
2974,5.97,5.514,,69,2014,12475
2975,6.05,5.514,,43,1992,12476
2976,5.77,5.514,,53,1999,12477
2977,6.08,5.514,,38,2011,12478
2978,6.21,5.514,,83,2012,12479
2979,6.05,5.514,,31,1988,12480
2980,6.11,5.514,,49,2015,12481
2981,6.08,5.514,,72,2012,12482
2982,5.92,5.514,,70,2018,12483
2983,6.07,5.514,,30,2014,12484
2984,6.31,5.514,,34,1980,12485
2985,6.18,5.514,,34,2017,12486
2986,6.22,5.514,,66,2016,12487
2987,5.73,5.514,,84,1998,12488
2988,6.51,5.514,,30,2020,12489
2989,5.82,5.514,,81,1991,12490
2990,5.93,5.514,,36,2018,12491
2991,5.88,5.514,,73,2014,12492
2992,6.04,5.514,,56,2014,12493
2993,5.82,5.514,,106,1974,12494
2994,5.82,5.514,,54,2011,12495
2995,5.92,5.514,,64,2008,12496
2996,5.66,5.514,,152,1990,12497
2997,5.68,5.514,19.99,98,2017,12498
2998,5.86,5.514,,58,2011,12499
2999,5.71,5.514,,96,2010,12500
3000,5.92,5.514,,87,2006,12501
3001,5.64,5.514,,130,2011,12502
3002,6.12,5.514,,31,2013,12503
3003,5.71,5.514,,70,2015,12504
3004,6.14,5.514,,52,2016,12505
3005,6.64,5.514,,34,2017,12506
3006,5.88,5.514,,51,1988,12507
3007,5.86,5.514,,34,1997,12508
3008,6.09,5.514,,36,1982,12509
3009,6.12,5.514,,35,2015,12510
3010,5.98,5.514,,52,1995,12511
3011,6.17,5.514,,30,2018,12512
3012,6.04,5.514,,42,2002,12513
3013,6.22,5.514,,35,1997,12514
3014,5.83,5.514,,51,2012,12515
3015,5.92,5.514,,41,2017,12516
3016,5.71,5.514,,131,2006,12517
3017,5.85,5.514,,101,2007,12518
3018,5.79,5.514,,58,2014,12519
3019,5.89,5.513,,31,2001,12520
3020,6.11,5.513,,31,2012,12521
3021,6.18,5.513,,31,2010,12522
3022,6.11,5.513,,31,2015,12523
3023,5.96,5.513,28,55,2012,12524
3024,5.88,5.513,,48,2018,12525
3025,5.88,5.513,,65,1967,12526
3026,6.03,5.513,,34,1988,12527
3027,6.12,5.513,,36,2017,12528
3028,6.04,5.513,,38,1981,12529
3029,5.92,5.513,,65,1976,12530
3030,5.77,5.513,,134,1977,12531
3031,5.86,5.513,,57,2003,12532
3032,5.85,5.513,,46,2012,12533
3033,5.86,5.513,,49,2007,12534
3034,6,5.513,,33,1984,12535
3035,6.13,5.513,,50,1986,12536
3036,6.06,5.513,,41,2016,12537
3037,6.11,5.513,,34,2007,12538
3038,5.81,5.513,,58,1999,12539
3039,5.84,5.513,,52,1997,12540
3040,5.78,5.513,,70,2010,12541
3041,5.85,5.513,,73,2005,12542
3042,5.64,5.513,,140,2008,12543
3043,5.87,5.513,,57,1995,12544
3044,5.9,5.513,,57,1982,12545
3045,5.86,5.513,,55,2014,12546
3046,5.73,5.513,,86,1999,12547
3047,6.5,5.513,,40,2011,12548
3048,6.12,5.513,,39,2018,12549
3049,6.31,5.513,,38,2005,12550
3050,6.07,5.513,,45,2015,12551
3051,5.68,5.513,,141,1981,12552
3052,5.76,5.513,,93,2016,12553
3053,6.59,5.513,,74,2017,12554
3054,5.84,5.513,,199,1979,12555
3055,5.83,5.513,,35,2008,12556
3056,6.02,5.513,,75,2014,12557
3057,5.75,5.513,49.95,67,2017,12558
3058,6.06,5.513,,31,2010,12559
3059,8.74,5.513,,30,2016,12560
3060,5.86,5.513,,139,2008,12561
3061,5.93,5.513,,78,1992,12562
3062,5.82,5.513,,52,2012,12563
3063,5.97,5.513,,34,2011,12564
3064,6.31,5.513,,69,2016,12565
3065,5.81,5.513,,58,1939,12566
3066,5.94,5.513,,49,2017,12567
3067,6.09,5.513,,56,1980,12568
3068,6.22,5.513,,31,2016,12569
3069,5.66,5.513,,83,1999,12570
3070,5.73,5.513,,70,1999,12571
3071,6.13,5.513,,41,2008,12572
3072,5.88,5.513,,46,2014,12573
3073,5.74,5.513,,236,1968,12574
3074,6,5.513,,55,2013,12575
3075,5.88,5.513,,51,1981,12576
3076,5.66,5.513,,161,1985,12577
3077,5.81,5.513,,54,1971,12578
3078,6.45,5.513,,35,1999,12579
3079,5.88,5.513,,42,2012,12580
3080,5.87,5.513,,52,2017,12581
3081,6.13,5.513,,44,2004,12582
3082,5.72,5.513,,58,2013,12583
3083,5.93,5.513,,54,2009,12584
3084,5.89,5.513,,40,2015,12585
3085,6.02,5.513,,30,2002,12586
3086,5.86,5.513,,54,2012,12587
3087,5.69,5.513,,67,1979,12588
3088,6.09,5.513,,40,1990,12589
3089,6.47,5.513,,30,2015,12590
3090,5.62,5.513,10.6,387,2006,12591
3091,5.88,5.513,,41,2013,12592
3092,5.99,5.513,,35,2010,12593
3093,5.84,5.513,,46,2008,12594
3094,6.03,5.513,,42,2008,12595
3095,6.09,5.513,,44,2002,12596
3096,5.68,5.513,,70,1989,12597
3097,5.69,5.513,,103,2005,12598
3098,6.22,5.513,,67,2013,12599
3099,5.76,5.513,,60,2013,12600
3100,5.72,5.513,,60,2010,12601
3101,5.72,5.513,,87,2010,12602
3102,6.11,5.513,,32,2016,12603
3103,6.2,5.513,,35,1979,12604
3104,5.97,5.513,,33,1975,12605
3105,6.43,5.513,,65,2016,12606
3106,5.77,5.513,,69,1985,12607
3107,5.66,5.513,,455,1993,12608
3108,5.96,5.513,,37,2009,12609
3109,6.14,5.513,,43,2014,12610
3110,5.62,5.513,,180,2001,12611
3111,5.83,5.513,,48,2018,12612
3112,5.87,5.513,,56,1992,12613
3113,6,5.513,,44,2005,12614
3114,5.94,5.513,,47,2003,12615
3115,5.88,5.513,,41,1992,12616
3116,5.74,5.513,,86,2016,12617
3117,5.9,5.513,,98,2015,12618
3118,6.08,5.513,,51,2013,12619
3119,5.67,5.513,,284,1958,12620
3120,5.79,5.513,,60,1991,12621
3121,6.17,5.513,,31,1993,12622
3122,5.88,5.513,,41,2011,12623
3123,5.6,5.513,,255,2015,12624
3124,5.95,5.512,,98,2008,12625
3125,6.04,5.512,,32,2010,12626
3126,6.26,5.512,,36,2004,12627
3127,5.77,5.512,,68,2012,12628
3128,8.99,5.512,,35,2017,12629
3129,6.13,5.512,,68,2018,12630
3130,5.65,5.512,,53,2010,12631
3131,5.78,5.512,,57,2017,12632
3132,6.02,5.512,,36,2008,12633
3133,6.05,5.512,,34,2008,12634
3134,6.01,5.512,,35,1975,12635
3135,5.65,5.512,,168,2003,12636
3136,5.76,5.512,,59,2015,12637
3137,6.71,5.512,,36,2009,12638
3138,5.71,5.512,,73,1971,12639
3139,5.78,5.512,,72,1990,12640
3140,5.97,5.512,,42,1984,12641
3141,6.03,5.512,,40,2016,12642
3142,6.04,5.512,,34,2014,12643
3143,5.77,5.512,,112,2011,12644
3144,5.95,5.512,,40,2002,12645
3145,6.01,5.512,,41,1975,12646
3146,5.83,5.512,,59,2011,12647
3147,6.12,5.512,,36,2014,12648
3148,5.75,5.512,,79,2004,12649
3149,5.66,5.512,,108,1988,12650
3150,5.74,5.512,19.99,64,1984,12651
3151,5.8,5.512,,41,2017,12652
3152,5.82,5.512,,84,1996,12653
3153,5.68,5.512,,61,1983,12654
3154,5.65,5.512,,104,1987,12655
3155,5.57,5.512,,419,2010,12656
3156,5.7,5.512,,112,1961,12657
3157,6.26,5.512,,35,2017,12658
3158,5.99,5.512,,41,1400,12659
3159,5.78,5.512,,56,2009,12660
3160,6.28,5.512,,30,1970,12661
3161,6.17,5.512,,30,2001,12662
3162,6.62,5.512,,34,2017,12663
3163,6.18,5.512,,31,1983,12664
3164,5.75,5.512,,154,2006,12665
3165,6,5.512,,30,2015,12666
3166,5.78,5.512,,65,1985,12667
3167,5.98,5.512,,31,1998,12668
3168,6.32,5.512,,37,2017,12669
3169,6.15,5.512,,39,1976,12670
3170,5.89,5.512,,36,2013,12671
3171,5.99,5.512,,41,2011,12672
3172,5.9,5.512,,61,1977,12673
3173,5.63,5.512,,182,2005,12674
3174,5.72,5.512,,125,2009,12675
3175,5.76,5.512,,48,2013,12676
3176,5.92,5.512,,36,2013,12677
3177,5.8,5.512,,68,2012,12678
3178,5.91,5.512,,55,2016,12679
3179,5.91,5.512,,43,2015,12680
3180,6.05,5.512,,39,1993,12681
3181,5.68,5.512,,90,2009,12682
3182,5.82,5.512,,42,2007,12683
3183,6.04,5.512,,35,2016,12684
3184,5.69,5.512,,135,1997,12685
3185,6.03,5.512,,62,2017,12686
3186,5.93,5.512,,91,2006,12687
3187,5.86,5.512,,41,1995,12688
3188,6.01,5.512,,39,2002,12689
3189,6.89,5.512,,32,2015,12690
3190,5.95,5.512,,40,2009,12691
3191,5.73,5.512,,64,1991,12692
3192,6.04,5.512,,30,2017,12693
3193,5.93,5.512,,76,2017,12694
3194,5.95,5.512,,36,2014,12695
3195,5.98,5.512,,56,2004,12696
3196,5.78,5.512,,37,2013,12697
3197,5.8,5.512,,43,2009,12698
3198,5.78,5.512,,46,2013,12699
3199,6.14,5.512,,36,1840,12700
3200,5.85,5.512,,59,1993,12701
3201,5.63,5.512,,122,1993,12702
3202,5.95,5.512,,39,2015,12703
3203,6.35,5.512,,31,2014,12704
3204,5.71,5.512,,180,2009,12705
3205,5.84,5.512,19.99,50,2014,12706
3206,6.18,5.512,,30,,12707
3207,5.88,5.512,,57,1985,12708
3208,6.39,5.512,,35,1980,12709
3209,5.98,5.512,,30,2002,12710
3210,5.98,5.512,,30,2012,12711
3211,5.72,5.512,,66,2014,12712
3212,5.84,5.512,,57,1993,12713
3213,5.95,5.512,,37,2008,12714
3214,6.12,5.512,,33,2014,12715
3215,5.96,5.512,,35,1976,12716
3216,6.02,5.512,,33,2015,12717
3217,5.64,5.512,,157,1991,12718
3218,5.71,5.512,,161,2013,12719
3219,5.78,5.512,,53,2012,12720
3220,5.85,5.512,,41,2018,12721
3221,5.75,5.512,,94,2015,12722
3222,5.79,5.512,,219,1967,12723
3223,5.6,5.512,,296,1971,12724
3224,5.67,5.512,,92,1991,12725
3225,5.85,5.512,,46,2011,12726
3226,5.78,5.512,,69,2014,12727
3227,5.74,5.512,,95,2016,12728
3228,8.11,5.512,,33,2018,12729
3229,8.99,5.512,,34,2019,12730
3230,6.07,5.512,,54,2012,12731
3231,5.91,5.512,,46,1991,12732
3232,8.72,5.512,,34,2016,12733
3233,5.98,5.512,,39,1990,12734
3234,5.85,5.512,,100,2016,12735
3235,5.84,5.512,,53,2003,12736
3236,5.63,5.512,,141,2009,12737
3237,6.15,5.512,,43,2016,12738
3238,9.13,5.512,,62,,12739
3239,5.68,5.512,,143,1991,12740
3240,5.94,5.512,,58,2017,12741
3241,5.81,5.512,,62,1992,12742
3242,5.97,5.512,,32,1999,12743
3243,6.01,5.512,,41,2008,12744
3244,6.15,5.512,,49,2006,12745
3245,6.17,5.512,,34,2012,12746
3246,5.69,5.512,29.99,158,2009,12747
3247,6.19,5.512,,36,2008,12748
3248,5.8,5.512,,66,1980,12749
3249,5.83,5.512,,66,1990,12750
3250,5.68,5.512,,105,2000,12751
3251,6.02,5.512,,32,2013,12752
3252,5.6,5.512,,163,2008,12753
3253,5.74,5.511,,115,1981,12754
3254,5.97,5.511,,30,1988,12755
3255,6.62,5.511,,32,2016,12756
3256,5.82,5.511,,58,2006,12757
3257,5.76,5.511,,56,2016,12758
3258,5.98,5.511,,32,2000,12759
3259,5.67,5.511,,93,2014,12760
3260,5.59,5.511,,56,2010,12761
3261,5.87,5.511,,34,1995,12762
3262,5.94,5.511,,42,2017,12763
3263,6.07,5.511,,37,1973,12764
3264,6.01,5.511,,47,2012,12765
3265,6.13,5.511,,30,2002,12766
3266,6.03,5.511,,38,1993,12767
3267,6.21,5.511,,42,1981,12768
3268,5.79,5.511,,48,2010,12769
3269,5.84,5.511,,68,2007,12770
3270,5.72,5.511,,50,2015,12771
3271,5.97,5.511,,43,2003,12772
3272,5.77,5.511,,46,2017,12773
3273,6.09,5.511,,30,2003,12774
3274,6.06,5.511,,39,1999,12775
3275,6.01,5.511,,39,2011,12776
3276,6.01,5.511,49.99,35,2015,12777
3277,5.74,5.511,,61,2010,12778
3278,5.63,5.511,,112,2012,12779
3279,5.82,5.511,,49,2013,12780
3280,5.82,5.511,,45,1994,12781
3281,5.75,5.511,,67,2016,12782
3282,6.28,5.511,,42,2013,12783
3283,5.75,5.511,,81,1988,12784
3284,5.85,5.511,,38,2011,12785
3285,6.09,5.511,,31,2004,12786
3286,5.74,5.511,,89,2012,12787
3287,5.67,5.511,24.99,207,2013,12788
3288,5.84,5.511,,79,1970,12789
3289,5.74,5.511,,52,2010,12790
3290,6.18,5.511,,31,2004,12791
3291,5.76,5.511,,72,1987,12792
3292,5.88,5.511,,35,2001,12793
3293,5.92,5.511,,42,2001,12794
3294,5.93,5.511,,43,1974,12795
3295,7.3,5.511,,53,2016,12796
3296,5.86,5.511,,34,2004,12797
3297,5.63,5.511,,160,2008,12798
3298,5.8,5.511,,45,2013,12799
3299,5.81,5.511,,56,2008,12800
3300,5.85,5.511,,40,2006,12801
3301,5.87,5.511,,49,1985,12802
3302,5.91,5.511,,42,2018,12803
3303,5.67,5.511,,108,2005,12804
3304,5.88,5.511,,36,2017,12805
3305,5.86,5.511,,37,,12806
3306,5.85,5.511,,41,1997,12807
3307,5.96,5.511,,39,2012,12808
3308,5.76,5.511,,90,2001,12809
3309,5.57,5.511,,259,2003,12810
3310,5.87,5.511,,43,1993,12811
3311,6.02,5.511,,43,1983,12812
3312,5.86,5.511,,63,2001,12813
3313,6.18,5.511,,59,2010,12814
3314,5.82,5.511,,62,1971,12815
3315,5.72,5.511,,98,,12816
3316,6.32,5.511,,30,2017,12817
3317,6.04,5.511,,49,1987,12818
3318,6.08,5.511,,33,2015,12819
3319,5.67,5.511,,79,2003,12820
3320,5.9,5.511,,34,2014,12821
3321,6.05,5.511,,33,2005,12822
3322,5.66,5.511,,89,2014,12823
3323,5.63,5.511,,119,2011,12824
3324,5.72,5.511,,61,2011,12825
3325,5.7,5.511,,74,2014,12826
3326,5.84,5.511,,46,2014,12827
3327,5.56,5.511,,330,2008,12828
3328,5.97,5.511,,49,2012,12829
3329,5.84,5.511,,39,1973,12830
3330,5.94,5.511,,30,2004,12831
3331,5.69,5.511,33.98,250,2006,12832
3332,5.61,5.511,,133,2012,12833
3333,6,5.511,,34,2007,12834
3334,6.15,5.511,,30,1996,12835
3335,5.63,5.511,,172,1991,12836
3336,5.92,5.511,,31,2015,12837
3337,6.09,5.511,,40,1986,12838
3338,5.86,5.511,,38,1997,12839
3339,5.74,5.511,,77,2000,12840
3340,5.67,5.511,,126,1993,12841
3341,5.88,5.511,,30,,12842
3342,5.75,5.511,,52,2009,12843
3343,5.81,5.511,,44,2008,12844
3344,6.1,5.511,,31,2013,12845
3345,5.74,5.511,,69,2013,12846
3346,5.93,5.511,,30,2014,12847
3347,5.83,5.511,,33,1969,12848
3348,7.3,5.511,,36,2017,12849
3349,5.94,5.511,,34,1972,12850
3350,5.64,5.511,,100,2011,12851
3351,5.94,5.511,,34,2010,12852
3352,6.22,5.511,,38,2012,12853
3353,5.73,5.511,,63,2011,12854
3354,6,5.511,,35,2015,12855
3355,6.58,5.511,,32,1975,12856
3356,5.73,5.511,,86,2015,12857
3357,6.04,5.511,,32,2000,12858
3358,5.76,5.51,,81,2010,12859
3359,5.69,5.51,,79,2003,12860
3360,5.6,5.51,,148,2014,12861
3361,5.6,5.51,,80,1989,12862
3362,5.64,5.51,,135,2017,12863
3363,6.14,5.51,,35,1992,12864
3364,5.76,5.51,,69,2018,12865
3365,5.74,5.51,,63,2000,12866
3366,5.77,5.51,,76,2007,12867
3367,5.74,5.51,,60,1997,12868
3368,6.05,5.51,,37,2017,12869
3369,5.68,5.51,,86,2005,12870
3370,5.84,5.51,,45,1974,12871
3371,5.56,5.51,,292,1998,12872
3372,5.67,5.51,,80,2012,12873
3373,5.83,5.51,,37,2017,12874
3374,5.9,5.51,,34,2013,12875
3375,5.51,5.51,,365,2008,12876
3376,5.66,5.51,,67,2009,12877
3377,5.65,5.51,,241,1999,12878
3378,6.21,5.51,,42,2013,12879
3379,5.85,5.51,,38,2010,12880
3380,5.71,5.51,,53,2007,12881
3381,5.8,5.51,,42,2005,12882
3382,5.68,5.51,,85,1986,12883
3383,5.69,5.51,,112,1973,12884
3384,5.73,5.51,,79,1986,12885
3385,5.99,5.51,,45,1997,12886
3386,6.15,5.51,,43,1998,12887
3387,5.91,5.51,,33,1983,12888
3388,5.79,5.51,,42,2013,12889
3389,5.58,5.51,,128,1984,12890
3390,5.84,5.51,,45,2018,12891
3391,5.67,5.51,,243,1977,12892
3392,5.76,5.51,,39,1999,12893
3393,6.01,5.51,,38,2014,12894
3394,5.83,5.51,,42,2008,12895
3395,5.99,5.51,,140,1978,12896
3396,6.05,5.51,,44,2016,12897
3397,5.92,5.51,,49,2000,12898
3398,5.81,5.51,,42,1996,12899
3399,5.56,5.51,84.99,206,2012,12900
3400,6.59,6.347,,4477,2007,1201
3401,6.51,6.347,49.99,7307,2004,1202
3402,6.61,6.347,,4411,2009,1203
3403,6.94,6.346,,1802,2008,1204
3404,6.77,6.346,14.99,2626,2013,1205
3405,6.84,6.346,59.99,2215,2015,1206
3406,6.65,6.346,,3722,2007,1207
3407,8.06,6.346,,871,2017,1208
3408,6.73,6.345,,2833,2005,1209
3409,7.23,6.344,19.99,1264,2014,1210
3410,7.2,6.344,,1242,2017,1211
3411,7.48,6.344,29.99,909,2008,1212
3412,7.15,6.344,10.99,1431,2015,1213
3413,7.97,6.34,,759,2018,1214
3414,7.68,6.339,,946,1962,1215
3415,7.3,6.338,,1093,1993,1216
3416,6.94,6.337,39.99,1719,2010,1217
3417,7.04,6.337,,1585,2013,1218
3418,6.99,6.337,202,1585,2008,1219
3419,8.44,6.337,,541,2017,1220
3420,6.84,6.337,,2113,2007,1221
3421,7.13,6.336,39.99,1301,2013,1222
3422,6.56,6.336,14.99,6164,1995,1223
3423,6.77,6.335,,2331,2009,1224
3424,6.82,6.335,39.99,2380,2016,1225
3425,6.97,6.334,34.99,2045,2016,1226
3426,7.86,6.334,39.99,731,2018,1227
3427,7.3,6.334,,1128,2018,1228
3428,7.2,6.334,41.09,1207,2015,1229
3429,7.37,6.333,59.99,1085,2018,1230
3430,6.82,6.333,29.95,2182,2017,1231
3431,8.56,6.332,39.95,560,2018,1232
3432,6.97,6.331,,1749,2005,1233
3433,7.61,6.331,89.99,983,2016,1234
3434,6.87,6.331,,2172,1996,1235
3435,6.99,6.331,,1638,2016,1236
3436,7.07,6.331,,1373,2010,1237
3437,7.48,6.329,44.99,970,2010,1238
3438,6.86,6.329,,1995,2010,1239
3439,8.24,6.329,,599,2016,1240
3440,7.05,6.328,99.95,1527,2010,1241
3441,7.02,6.327,65,1494,2012,1242
3442,6.98,6.327,,1763,2007,1243
3443,6.86,6.326,,2412,2011,1244
3444,7.16,6.326,39.99,1415,2016,1245
3445,6.98,6.326,34.99,1551,2016,1246
3446,6.64,6.326,89.95,4979,2005,1247
3447,7.63,6.326,49.99,870,2012,1248
3448,6.56,6.325,,4645,2002,1249
3449,6.85,6.325,59.95,2642,2013,1250
3450,6.8,6.325,34.99,2267,2013,1251
3451,6.98,6.325,,1671,2005,1252
3452,7.09,6.324,,1368,2016,1253
3453,6.73,6.324,25,3018,2016,1254
3454,6.69,6.324,,3062,2004,1255
3455,6.69,6.324,,2960,2007,1256
3456,7.15,6.324,,1251,2009,1257
3457,6.84,6.323,,2037,1979,1258
3458,7.23,6.323,60,1165,2016,1259
3459,7.59,6.322,100,935,2015,1260
3460,7.6,6.321,39.99,876,2014,1261
3461,6.95,6.32,48.99,1651,2011,1262
3462,6.58,6.32,39.99,4831,2012,1263
3463,6.71,6.319,,2854,2010,1264
3464,6.99,6.319,21,1550,2015,1265
3465,6.9,6.319,,1756,2013,1266
3466,6.57,6.318,37.99,6138,2007,1267
3467,6.75,6.318,,2854,2005,1268
3468,7.55,6.318,,889,2015,1269
3469,6.8,6.317,19.99,2401,2015,1270
3470,7.13,6.316,24.95,1263,2015,1271
3471,7.1,6.316,59.99,1274,1992,1272
3472,6.77,6.316,19.99,2278,2013,1273
3473,7.9,6.316,,778,2016,1274
3474,6.56,6.316,,9620,1981,1275
3475,6.92,6.315,39.99,1731,2006,1276
3476,7.54,6.315,24.99,894,2016,1277
3477,7.55,6.314,,829,2015,1278
3478,7.9,6.314,,702,2010,1279
3479,8.14,6.314,,579,2015,1280
3480,7.23,6.314,,1186,2018,1281
3481,7.46,6.314,,853,2009,1282
3482,7.96,6.313,,618,2013,1283
3483,7.28,6.313,,1079,2007,1284
3484,7.51,6.312,60,842,2018,1285
3485,7.14,6.312,,1210,2017,1286
3486,6.92,6.312,,1692,2008,1287
3487,6.57,6.312,34.95,4535,2007,1288
3488,6.66,6.312,49,3100,2005,1289
3489,6.89,6.309,,1856,2017,1290
3490,6.77,6.308,12.95,2328,2016,1291
3491,6.85,6.308,59.99,1906,2011,1292
3492,6.54,6.307,87.99,11457,2007,1293
3493,6.83,6.307,55,2035,2010,1294
3494,7.12,6.306,39.99,1335,2016,1295
3495,6.48,6.306,12.99,9399,1988,1296
3496,7.24,6.306,,1170,2018,1297
3497,8.02,6.306,39.99,659,2019,1298
